smiles,cal_solv_free
O=Cc1cccc(O)c1O,-12.86386715
OC(=S)c1ccccc1,-6.313145931
N#CCc1nc(C#N)c(N)o1,-17.7413204
N#Cc1ccccc1C#N,-10.80045739
CCc1nnc(S)s1,-8.932052641
Oc1cccc(Cl)c1,-6.731412722
Cc1n[nH]c(CC#N)n1,-12.49913951
NCc1ccccc1,-6.105728776
Cc1cccc(N)c1.Cl,-11.89841164
C=C(CN)c1ccc(O)cc1,-10.46042855
ClCc1ccccn1,-5.581914803
O=c1[nH][nH]c(=O)[nH]1,-15.35319304
NC1CCc2cccc(O)c21,-10.70554023
C1NCC1Oc1nnn[nH]1,-14.65877793
NC1CCc2n[nH]cc2C1,-10.73751814
CNCCc1n[nH]c(N)n1,-16.9460707
[O-][n+]1ccc(Cl)cc1,-9.50486887
CCCC[n+]1cc([NH-])on1,-14.55680128
C/C=N\n1c(C)n[nH]c1=O,-11.88989005
O=C(O)c1cn[nH]c1,-12.47053761
O=C(O)c1cscn1,-10.15845819
CCc1ccc(CC)cc1,-3.374478951
CC(=O)C=Cc1ccccc1,-8.406218087
Nc1ccccc1[N+](=O)[O-],-8.720387243
Cc1ccccc1S,-4.307912626
Cc1ccc(C(=O)O)o1,-9.121635962
CC(C=O)=Cc1ccccc1,-7.387763081
Cn1cccc1,-4.852070473
Cc1nc(C)c(N)c(O)n1,-11.92720807
CC(=O)CCc1ccccc1,-8.104762282
Cc1cc(C)c(N)cc1C,-6.516565848
Cc1cccc[n+]1[O-],-9.224528777
O=S(=O)(O)n1ccnc1,-12.72835009
O=C(O)c1ccc(CO)o1,-12.93684029
CNCC(=O)c1ccccc1,-8.184845109
NOCc1cccc(F)c1,-7.767205828
CC(=N)Nc1ccccc1,-9.61405561
C=C(CN)c1ccco1,-6.760378583
C=C(CN)c1cccc(O)c1,-10.46967804
Cc1cnc(CO)c(C)c1,-7.214538946
N=C(N)Nc1ccsc1,-14.27717027
O/N=N/c1cnccn1,-9.802189383
CN(C)c1ccccc1,-4.617105628
O=C1Nc2ccccc2C1=O,-12.23729214
Cc1cc(C)c(O)c(N)c1,-7.141264603
Nc1cccc(O)c1,-9.943730538
ClCc1ccncc1,-6.659167496
Cc1ncccc1CO,-8.666170379
COc1nc(C)nc(N)n1,-10.6224328
Cc1cccnc1C,-5.011690191
SCCc1cnccn1,-7.79336672
C/N=C(\NC)c1ccccc1,-8.236997465
CNCc1cccc(F)c1,-5.455352311
COc1cc(C)ccc1O,-6.593655452
NC(CO)Cc1c[nH]cn1,-15.39442045
CC(=O)c1c[nH]cc1CO,-13.68557894
O=C1Cc2ccccc2C1=O,-10.09345442
Oc1cccnc1,-8.092632514
C[C@@H]1[C@@H](N)[C@H]1c1ccccc1,-6.963277667
N[C@H]1[C@H]2Cc3ccccc3[C@@H]12,-6.516427796
Nc1ccc(N)c(Cl)c1,-9.611639696
Nc1ccc(Cl)cc1N,-9.418172088
CN(C)c1ccc(O)cc1,-8.089589091
O=C(O)c1ccccn1,-9.891804086
c1ccc2c(c1)CNCCN2,-8.756393767
CCc1cccnc1,-5.234242888
Oc1ccc(O)cc1,-10.03843435
Fc1ccccc1,-3.258866508
O=C(O)c1ccc[n+]([O-])c1,-13.54128929
O=[N+]([O-])c1ccccc1O,-11.51943325
CC(=O)Nc1cccc(C)c1,-10.37456008
Oc1ccc2c(c1)CCNC2,-9.169012967
Nc1ccc(F)cc1F,-6.617174526
Cc1c[nH]cc(O)c1=O,-13.54678001
N#Cc1ccc(C#N)cc1,-10.37860124
NC(=O)c1ccsc1N,-12.0748298
CCc1ccc(C)cc1,-3.322508573
NNC(=O)c1cc(=O)[nH][nH]1,-20.81360309
c1ccsc1,-3.02426562
Cc1c(CO)no[n+]1[O-],-11.59575729
Cc1ccc(Cl)cc1,-3.286332621
c1ccnnc1,-8.094615446
O=C1NC(=O)c2ccccc21,-9.996635906
Cc1c(C=O)no[n+]1[O-],-8.037380259
OCCn1ccnc1,-12.20434159
Cc1ccncc1,-5.085234363
CCCc1nccnc1C,-5.529091012
Clc1cccc(Cl)n1,-5.041352589
CN(C)c1cccc(O)c1,-8.331393794
Nc1cccnc1,-8.730452503
Nc1n[nH]c(CCCO)n1,-14.32174231
Oc1ccc2c(c1)CNCC2,-9.170004433
CCc1ccnc(N)c1,-8.117268557
Cc1nc(O)nc(O)c1C,-13.33690929
Cn1cccc(O)c1=O,-8.922156809
NN[14C](=O)c1ccncc1,-12.37971808
Cc1ccnc(C)c1O,-8.084192505
CC(=O)Nc1nncs1,-12.93936915
COc1cc(CN)ccn1,-7.838691767
O=CNCc1ccccc1,-9.550771226
CCc1ncc(C)nc1C,-5.469879168
NNC(=O)c1ccncn1,-14.33430506
Nc1ccncc1Cl,-8.344119697
Nc1nc(=O)[nH]s1,-17.7681339
NCCc1csc(N)n1,-11.67712651
Cn1c(N)cc(=O)[nH]c1=O,-18.40043808
Cc1ccccc1CCO,-6.946234495
NCC1CC1c1ccccc1,-7.007592423
CNC1Cc2ccccc2C1,-5.729982063
NCc1cccc(Cl)c1,-6.194264162
CNc1ccc(O)cc1,-8.933138234
Cc1ccc(NC=O)c(C)c1,-8.985121162
Cc1c(O)noc1CN,-11.22004195
O=c1ccocc1O,-13.60203226
CCCc1cccc(O)c1,-6.892136858
O=C(O)c1cnccn1,-11.00499428
Cc1ccc(C(C)C)c(N)c1,-6.891892129
Cc1cc(C)c(=O)[nH]n1,-9.76376067
Cc1cc(C)c(C=O)c(C)c1,-6.432812088
NC1C=Cc2ccccc2C1,-7.295732465
C=Cc1ccccc1Cl,-3.603720904
c1coc([C@H]2CCCN2)c1,-5.187493393
CC(=O)c1ccc(C)o1,-6.974472445
CCc1n[nH]c(=O)n1O,-12.83480089
Cc1cc(O)cc(=O)o1,-12.33717291
Nc1ncnc2c1CCC2,-10.1075734
CC(N)C(C)c1ccccc1,-6.517124332
Cc1ccc(C=O)cc1,-5.022552389
C[C@H](CN)c1c[nH]cn1,-12.1091295
NC1=Nc2ccccc2CN1,-13.26531667
Cc1ccccc1CCl,-4.858232621
C1=Cc2ccccc2NN=C1,-7.76169629
CC(=O)Oc1ccccc1,-7.553306494
C#Cc1ccccc1,-4.453162366
NOC1Cc2ccccc2C1,-9.344194934
NOCc1ccccc1O,-10.45987634
O=C(O)c1ccc(=O)oc1,-11.47562678
NCc1c(O)cccc1O,-12.09416966
NCc1cocc1C(=O)O,-10.46705505
N=C(N)c1cccc(N)c1,-13.74299611
OCc1ccco1,-7.184920474
NOCc1ccc(F)cc1,-7.747602416
c1cnoc1,-5.69713819
NC/C=C\c1c[nH]cn1,-12.21515986
Clc1ccnc(Cl)n1,-5.651505662
Cc1c(O)c(=O)ccn1C,-19.77780998
CCc1ccccc1N(C)C,-3.973179967
N[C@@H]1[C@H]2Cc3ccccc3[C@@H]12,-7.080151404
Oc1ccc(Cl)nc1,-8.580245435
O=C1Cc2ccccc2C1,-7.086319828
O=c1cc[nH]c(=O)[nH]1,-14.53850936
Cc1ccc(O)c(C)c1,-7.379944307
O=C(O)C(=O)c1ccco1,-10.68638862
NC1CNc2ccccc2C1,-8.355019546
Cc1noc(C(=O)O)n1,-10.64238135
Oc1ccc2c(c1)CCC2,-6.469057066
CC(N)c1nccc(N)n1,-12.07732729
[O-][n+]1ccccc1S,-8.333426927
NCc1ccccc1O,-9.308941422
C=C(C(C)=O)n1cncn1,-10.58017628
Cc1ccc(NC(=N)N)cc1,-13.82054379
C/N=c1\cnsn1C,-6.579994559
C1=C(c2c[nH]cn2)CCNC1,-12.27358104
CCOc1nccnc1C,-5.47189975
Cc1cc(=O)[nH]c(=S)[nH]1,-14.79134569
O=Cc1ccco1,-7.492368998
C=C(C)C(=O)c1ccco1,-7.818592622
Cc1ccc(N)c(N)c1,-8.899491147
CNCc1cnc(C)cn1,-8.697821984
C#Cc1cncs1,-5.616810634
NC1=Nc2ccccc2CC1,-10.76462657
Cc1cnc(N)c(C)c1,-7.706607188
NC(=S)c1ccsc1,-10.96512857
Cc1cc(=O)c(O)cn1C,-19.96611946
Cc1[nH]cc(C)c(=O)c1O,-14.44002794
Cc1n[nH]c(C)c1C,-7.64620935
COc1ccc(N=[N+]=[N-])cc1,-5.827716746
Cc1ccc(N=[N+]=[N-])cc1C,-4.566609898
CN(C)c1ccncc1N,-8.871579502
Cn1cncc1C=O,-11.80871536
O=[N+]([O-])/C=C/c1ccccc1,-8.482899808
CCCn1oc(C)cc1=O,-9.35398409
NNc1nc(N)nc(N)n1,-15.71352811
Cn1ccnc1N,-11.17865139
Nc1cc(O)nc(O)n1,-13.74243762
O=[N+]([O-])c1cncs1,-7.459179994
C#CCNCc1ccc[nH]1,-9.39979232
